Alexander-City-ALABAMA	32.9500 -85.9500
Anniston-AP-ALABAMA	33.5833 -85.8500
Auburn-ALABAMA	32.6000 -85.5000
Birmingham-AP-ALABAMA	33.5667 -86.7500
Decatur-ALABAMA	34.6167 -86.9833
Dothan-AP-ALABAMA	31.3167 -85.4500
Florence-AP-ALABAMA	34.8000 -87.6667
Gadsden-ALABAMA	34.0167 -86.0000
Huntsville-AP-ALABAMA	34.7000 -86.5833
Mobile-AP-ALABAMA	30.6833 -88.2500
Mobile-Co-ALABAMA	30.6667 -88.2500
Montgomery-AP-ALABAMA	32.3833 -86.3667
Selma-Craig-AFB-ALABAMA	32.3333 -87.9833
Talladega-ALABAMA	33.4500 -86.1000
Tuscaloosa-AP-ALABAMA	33.2167 -87.6167
Anchorage-AP-ALASKA	61.0167 -150.0167
Barrow-(S)-ALASKA	71.3000 -156.7833
Fairbanks-AP-(S)-ALASKA	64.8167 -147.8667
Juneau-AP-ALASKA	58.3667 -134.5833
Kodiak-ALASKA	57.7500 -152.4833
Nome-AP-ALASKA	64.5000 -165.4333
Douglas-AP-ARIZONA	31.4500 -109.6000
Flagstaff-AP-ARIZONA	35.1333 -111.6667
Fort-Huachuca-AP-(S)-ARIZONA	31.5833 -110.3333
Kingman-AP-ARIZONA	35.2000 -114.0167
Nogales-ARIZONA	31.3500 -110.9167
Phoenix-AP-(S)-ARIZONA	33.4333 -112.0167
Prescott-AP-ARIZONA	34.6500 -112.4333
Tucson-AP-(S)-ARIZONA	32.1167 -110.9333
Winslow-AP-ARIZONA	35.0167 -110.7333
Yuma-AP-ARIZONA	32.6500 -114.6167
Blytheville-AFB-ARKANSAS	35.9500 -89.9500
Camden-ARKANSAS	33.6000 -92.8167
El-Dorado-AP-ARKANSAS	33.2167 -92.8167
Fayetteville-AP-ARKANSAS	36.0000 -94.0167
Fort-Smith-AP-ARKANSAS	35.3333 -94.3667
Hot-Springs-ARKANSAS	34.4833 -93.1000
Jonesboro-ARKANSAS	35.8333 -90.7000
Little-Rock-AP-(S)-ARKANSAS	34.7333 -92.2333
Pine-Bluff-AP-ARKANSAS	34.3000 -92.0833
Texarkana-AP-ARKANSAS	33.4500 -93.9833
Bakersfield-AP-CALIFORNIA	35.4167 -119.0500
Barstow-AP-CALIFORNIA	34.8500 -116.7833
Blythe-AP-CALIFORNIA	33.6167 -114.7167
Burbank-AP-CALIFORNIA	34.2000 -118.3500
Chico-CALIFORNIA	39.8000 -121.8500
Concord-CALIFORNIA	37.9667 -121.9833
Covina-CALIFORNIA	34.0833 -117.8667
Crescent-City-AP-CALIFORNIA	41.7667 -124.2000
Downey-CALIFORNIA	33.9333 -118.1333
El-Cajon-CALIFORNIA	32.8167 -116.9667
El-Cerrito-AP-(S)-CALIFORNIA	32.8167 -115.6667
Escondido-CALIFORNIA	33.1167 -117.0833
Eureka/Arcata-AP-CALIFORNIA	40.9833 -124.1000
Fairfield-Trafis-AFB-CALIFORNIA	38.2667 -121.9333
Fresno-AP-(S)-CALIFORNIA	36.7667 -119.7167
Hamilton-AFB-CALIFORNIA	38.0667 -122.5000
Laguna-Beach-CALIFORNIA	33.5500 -117.7833
Livermore-CALIFORNIA	37.7000 -121.9500
Lompoc,-Vandenberg-AFB-CALIFORNIA	34.7167 -120.5667
Long-Beach-AP-CALIFORNIA	33.8167 -118.1500
Los-Angeles-AP-(S)-CALIFORNIA	33.9333 -118.4000
Los-Angeles-CO-(S)-CALIFORNIA	34.0500 -118.2333
Merced-Castle-AFB-CALIFORNIA	37.3833 -120.5667
Modesto-CALIFORNIA	37.6500 -121.0000
Monterey-CALIFORNIA	36.6000 -121.9000
Napa-CALIFORNIA	38.2167 -122.2833
Needles-AP-CALIFORNIA	34.6000 -114.6167
Oakland-AP-CALIFORNIA	37.8167 -122.3167
Oceanside-CALIFORNIA	33.2333 -117.4167
Ontario-CALIFORNIA	34.0500 -117.6000
Oxnard-CALIFORNIA	34.2000 -119.1833
Palmdale-AP-CALIFORNIA	34.6333 -118.1000
Palm-Springs-CALIFORNIA	33.8167 -116.5333
Pasadena-CALIFORNIA	34.1500 -118.1500
Petaluma-CALIFORNIA	38.2333 -122.6333
Pomona-Co-CALIFORNIA	34.0500 -117.7500
Redding-AP-CALIFORNIA	40.5167 -122.3000
Redlands-CALIFORNIA	34.0500 -117.1833
Richmond-CALIFORNIA	37.9333 -122.3500
Riverside-March-AFB-(S)-CALIFORNIA	33.9000 -117.2500
Sacramento-AP-CALIFORNIA	38.5167 -121.5000
Salinas-AP-CALIFORNIA	36.6667 -121.6000
San-Bernadino,-Norton-AFB-CALIFORNIA	34.1333 -117.2667
San-Diego-AP-CALIFORNIA	32.7333 -117.0167
San-Fernando-CALIFORNIA	34.2833 -118.4667
San-Francisco-AP-CALIFORNIA	37.6167 -122.3833
San-Francisco-Co-CALIFORNIA	37.7667 -122.4333
San-Jose-AP-CALIFORNIA	37.3667 -121.9333
San-Louis-Obispo-CALIFORNIA	35.3333 -120.7167
Santa-Ana-AP-CALIFORNIA	33.7500 -117.8667
Santa-Barbara-MAP-CALIFORNIA	34.4333 -119.8333
Santa-Cruz-CALIFORNIA	36.9833 -122.0167
Santa-Maria-AP-(S)-CALIFORNIA	34.9000 -120.4500
Santa-Monica-CIC-CALIFORNIA	34.0167 -118.4833
Santa-Paula-CALIFORNIA	34.3500 -119.0833
Santa-Rosa-CALIFORNIA	38.5167 -122.8167
Stockton-AP-CALIFORNIA	37.9000 -121.2500
Ukiah-CALIFORNIA	39.1500 -123.2000
Visalia-CALIFORNIA	36.3333 -119.3000
Yreka-CALIFORNIA	41.7167 -122.6333
Yuba-City-CALIFORNIA	39.1333 -121.6000
Alamosa-AP-COLORADO	37.4500 -105.8667
Boulder-COLORADO	40.0000 -105.2667
Colorado-Springs-AP-COLORADO	38.8167 -104.7167
Denver-AP-COLORADO	39.7500 -104.8667
Durango-COLORADO	37.2833 -107.8833
Fort-Collins-COLORADO	40.7500 -105.0833
Grand-Junction-AP-(S)-COLORADO	39.1167 -108.5333
Greeley-COLORADO	40.4333 -104.6333
Lajunta-AP-COLORADO	38.0500 -103.5000
Leadville-COLORADO	39.2500 -106.3000
Pueblo-AP-COLORADO	38.3000 -104.4833
Sterling-COLORADO	40.6167 -103.2000
Trinidad-COLORADO	37.2500 -104.3333
Bridgeport-AP-CONNECTICUT	41.1833 -73.1833
Hartford,-Brainard-Field-CONNECTICUT	41.7333 -72.6500
New-Haven-AP-CONNECTICUT	41.3167 -73.9167
New-London-CONNECTICUT	41.3500 -72.1000
Norwalk-CONNECTICUT	41.1167 -73.4167
Norwick-CONNECTICUT	41.5333 -72.0667
Waterbury-CONNECTICUT	41.5833 -73.0667
Widsor-Locks,-Bradley-Fld-CONNECTICUT	41.9333 -72.6833
Dover-AFB-DELAWARE	39.1333 -75.4667
Wilmington-AP-DELAWARE	39.6667 -75.6000
Andrews-AFB-DISTRICT-OF-COLUMBIA	38.0833 -76.0833
Washington,-National-AP-DISTRICT-OF-COLUMBIA	38.8500 -77.0333
Belle-Glade-FLORIDA	26.6500 -80.6500
Cape-Kennedy-AP-FLORIDA	28.4833 -80.5667
Daytona-Beach-AP-FLORIDA	29.1833 -81.0500
E-Fort-Lauderdale-FLORIDA	26.0667 -80.1500
Fort-Myers-AP-FLORIDA	26.5833 -81.8667
Fort-Pierce-FLORIDA	27.4667 -80.3500
Gainsville-AP-(S)-FLORIDA	29.6833 -82.2667
Jacksonville-AP-FLORIDA	30.5000 -81.7000
Key-West-AP-FLORIDA	24.5500 -81.7500
Lakeland-Co-(S)-FLORIDA	28.0333 -81.9500
Miami-AP-(S)-FLORIDA	25.8000 -80.2667
Miami-Beach-Co-FLORIDA	25.7833 -80.2833
Ocala-FLORIDA	29.1833 -82.1333
Orlando-AP-FLORIDA	28.5500 -81.3833
Panama-City,-Tyndall-AFB-FLORIDA	30.0667 -85.5833
Pensacola-Co-FLORIDA	30.4167 -87.2167
St.-Augustine-FLORIDA	29.9667 -81.3333
St.-Petersburg-FLORIDA	27.7667 -83.3333
Stanford-FLORIDA	28.7667 -81.2833
Sarasota-FLORIDA	27.3833 -82.5500
Tallahassee-AP-(S)-FLORIDA	30.3833 -84.3667
Tampa-AP-(S)-FLORIDA	27.9667 -82.5333
West-Palm-Beach-AP-FLORIDA	26.6833 -80.1000
Albany,-Turner-AFB-GEORGIA	31.6000 -84.0833
Americus-GEORGIA	32.0500 -84.2333
Athens-GEORGIA	33.9500 -83.3167
Atlanta-AP-(S)-GEORGIA	33.6500 -84.4333
Augusta-AP-GEORGIA	33.3667 -81.9667
Brunswick-GEORGIA	31.2500 -81.4833
Columbus,-Lawson-AFB-GEORGIA	32.5167 -84.9333
Dalton-GEORGIA	34.5667 -84.9500
Dublin-GEORGIA	32.3333 -82.9000
Gainsville-GEORGIA	34.1833 -83.6833
Griffin-GEORGIA	33.2167 -84.2667
LaGrange-GEORGIA	33.0167 -85.0667
Macon-AP-GEORGIA	32.7000 -83.6500
Marietta,-Dobbins-AFB-GEORGIA	33.9167 -84.5167
Savannah-GEORGIA	32.1333 -81.2000
Valdosta-Moody-AFB-GEORGIA	30.9667 -83.2000
Waycross-GEORGIA	31.2500 -82.4000
Hilo-AP-(S)-HAWAII	19.7167 -155.0833
Honolulu-AP-HAWAII	21.3333 -157.9167
Kaneohe-Bay-MCAS-HAWAII	21.4500 -157.7667
Wahiawa-HAWAII	21.0500 -158.0333
Boise-AP-(S)-IDAHO	43.5667 -116.2167
Burley-IDAHO	42.5333 -113.7667
Coeur-D'Alene-AP-IDAHO	47.7667 -116.8167
Idaho-Falls-AP-IDAHO	43.5167 -112.0667
Lewiston-AP-IDAHO	46.3833 -117.0167
Moscow-IDAHO	46.7333 -116.9667
Mountain-Home-AFB-IDAHO	43.0333 -115.9000
Pocatello-AP-IDAHO	42.9167 -112.6000
Twin-Falls-AP-(S)-IDAHO	42.4833 -114.4833
Aurora-ILLINOIS	41.7500 -88.3333
Belleville,-Scott-AFB-ILLINOIS	38.5500 -89.8500
Bloomington-ILLINOIS	40.4833 -88.9500
Carbondale-ILLINOIS	37.7833 -89.2500
Champaign/Urbana-ILLINOIS	40.0333 -88.2833
Chicago,-Midway-AP-ILLINOIS	41.7833 -87.7500
Chicago,-O'Hare-AP-ILLINOIS	41.9833 -87.9000
Chicago-Co-ILLINOIS	41.8833 -87.6333
Danville-ILLINOIS	40.2000 -87.6000
Decatur-ILLINOIS	39.8333 -88.8667
Dixon-ILLINOIS	41.8333 -89.4833
Elgin-ILLINOIS	42.0333 -88.2667
